step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
376,1862144,1504,0.014066879334387375,0.0,0.7575757575757576,,,
377,1864612,1508,0.03073289816603509,0.0,0.8767123287671232,0.017957196376110197,0.5,0.9090909090909091
378,1868808,1512,0.021094984003659795,0.0,0.954954954954955,,,
379,1876620,1516,0.010759905260380424,0.25,0.8723404255319149,,,
380,1879312,1520,0.029163738885456203,0.0,0.8,,,
381,1883828,1524,0.025555794522255683,0.0,0.875,,,
382,1887960,1528,0.03432496388481172,0.0,0.8554216867469879,,,
383,1896156,1532,0.01459285776668962,0.0,0.9508196721311475,,,
384,1898944,1536,0.024305912042211095,0.5,0.7333333333333333,,,
385,1900772,1540,0.046693020826550004,0.0,0.92,0.023300412305175038,0.25,0.875
386,1905320,1544,0.026388401625758524,0.0,0.76,,,
387,1907788,1548,0.03427325600789641,0.0,0.8,,,
388,1911856,1552,0.02504778196772302,0.0,0.7666666666666667,,,
389,1915284,1556,0.023712881516574497,0.25,0.85,,,
390,1916760,1560,0.034816064817509915,0.0,0.7727272727272727,,,
391,1918716,1564,0.03551909106076031,0.25,0.9245283018867925,,,
